title,genre,director,country,year
,"приключения ,  историческая   драма","Исао Такахата 
 Исао Такахата ,  Хадзимэ Окаясу 
 Кодзо Кудзуха",,
,,"Прийт Пярн ,  Янно Пылдма","Эстония ,    Финляндия ,    Великобритания",1995
,,"Джим Каммеруд , Брайан Смит",США,2003
,,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0} 
 Вольфганг Райтерман 
 Клайд Джероними 
 Хэмилтон Ласк",США,1961
,,Владимир Самсонов,СССР,1988
,,"Ю. Норштейн ,  А. Тюрин",СССР,1968
,"психологический триллер ,  научная фантастика","Юкихико Цуцуми 
 Юкихико Цуцуми",,
,,Хайме Эскудеро Хуан-Карлос Трупп,Чили,1942
,"повседневность , романтика","Масахару Окуваки 
 Масаки Одзора 
 Масаки Одзора",,
,,Крис Дженкинс,Великобритания   Канада   Франция   США,2024
,,Татья Розенталь,Австралия,2008
" (мультфильм, 2009)",,Шейн Экер,США,2009
,,Шейн Экер,США,2005
,"научная фантастика ,  боевик ,  приключения","Харуюки Кавадзима 
 Акинори Кикути 
 Ясухиро Хориути",,
,романтическая комедия,"Такаси Наоя 
Цутому Ханабуса 
Такаси Наоя",,
,"приключения ,  фэнтези ,  ужасы","Дайсукэ Нисио Кадзухиса Такэноути  (3 серия) 
 Кадзухиса Такэноути",,
,"романтическая комедия ,  этти",Дзюнъити Ватанабэ,,
,"боевик ,  драма ,  приключения ,  фэнтези","Коити Масимо 
 Коити Масимо 
 Коити Масимо 
 Коити Масимо",,
,"психологическая драма ,  киберпанк",Коити Масимо,,
,"комедия ,  киберпанк  ( виртуальная реальность )",Койти Масимо,,
,,"Владимир Дахно , 
 Тадеуш Павленко , 
 Цезарь Оршанский , 
 Ефрем Пружанский , 
 Юрий Скирда",СССР,1973
